	season	yr	mnth	weathersit	temp	hum	windspeed	cnt
0	1	0	1	2	0.344167	0.805833	0.160446	985.0
1	1	0	1	2	0.363478	0.696087	0.24853899999999998	801.0
2	1	0	1	1	0.196364	0.43727299999999997	0.248309	1349.0
3	1	0	1	1	0.2	0.590435	0.160296	1562.0
4	1	0	1	1	0.22695700000000002	0.436957	0.1869	1600.0
5	1	0	1	1	0.204348	0.518261	0.0895652	1606.0
6	1	0	1	2	0.196522	0.49869600000000003	0.168726	1510.0
7	1	0	1	2	0.165	0.535833	0.266804	959.0
8	1	0	1	1	0.13833299999999998	0.434167	0.36195	822.0
9	1	0	1	1	0.150833	0.482917	0.22326700000000002	1321.0
10	1	0	1	2	0.16909100000000002	0.6863640000000001	0.12213199999999999	1263.0
11	1	0	1	1	0.172727	0.599545	0.304627	1162.0
12	1	0	1	1	0.165	0.47041700000000003	0.301	1406.0
13	1	0	1	1	0.16087	0.537826	0.126548	1421.0
14	1	0	1	2	0.23333299999999998	0.49875	0.15796300000000002	1248.0
15	1	0	1	1	0.231667	0.48375	0.188433	1204.0
16	1	0	1	2	0.175833	0.5375	0.194017	1000.0
17	1	0	1	2	0.216667	0.861667	0.146775	683.0
18	1	0	1	2	0.292174	0.741739	0.208317	1650.0
19	1	0	1	2	0.261667	0.538333	0.195904	1927.0
20	1	0	1	1	0.1775	0.457083	0.353242	1543.0
21	1	0	1	1	0.0591304	0.4	0.17197	981.0
22	1	0	1	1	0.0965217	0.436522	0.2466	986.0
23	1	0	1	1	0.0973913	0.49173900000000004	0.15833	1416.0
24	1	0	1	2	0.223478	0.616957	0.129796	1985.0
25	1	0	1	3	0.2175	0.8625	0.29385	506.0
26	1	0	1	1	0.195	0.6875	0.113837	431.0
27	1	0	1	2	0.203478	0.793043	0.1233	1167.0
28	1	0	1	1	0.196522	0.6517390000000001	0.14536500000000002	1098.0
29	1	0	1	1	0.216522	0.722174	0.0739826	1096.0
30	1	0	1	2	0.180833	0.60375	0.187192	1501.0
31	1	0	2	2	0.192174	0.829565	0.053212999999999996	1360.0
32	1	0	2	2	0.26	0.775417	0.264308	1526.0
33	1	0	2	1	0.18695699999999998	0.43782600000000005	0.277752	1550.0
34	1	0	2	2	0.211304	0.585217	0.127839	1708.0
35	1	0	2	2	0.23333299999999998	0.929167	0.161079	1005.0
36	1	0	2	1	0.285833	0.568333	0.1418	1623.0
37	1	0	2	1	0.271667	0.738333	0.045408300000000006	1712.0
38	1	0	2	1	0.220833	0.537917	0.36195	1530.0
39	1	0	2	2	0.134783	0.494783	0.188839	1605.0
40	1	0	2	1	0.144348	0.437391	0.221935	1538.0
41	1	0	2	1	0.189091	0.506364	0.10855	1746.0
42	1	0	2	1	0.2225	0.544167	0.20336700000000002	1472.0
43	1	0	2	1	0.31652199999999997	0.457391	0.260883	1589.0
44	1	0	2	1	0.415	0.375833	0.179108	1913.0
45	1	0	2	1	0.26608699999999996	0.314348	0.29137399999999997	1815.0
46	1	0	2	1	0.318261	0.42347799999999997	0.251791	2115.0
47	1	0	2	1	0.43583299999999997	0.505	0.230104	2475.0
48	1	0	2	1	0.521667	0.516667	0.264925	2927.0
49	1	0	2	1	0.399167	0.6293488681318677	0.179108	1635.0
50	1	0	2	1	0.285217	0.407826	0.223235	1812.0
51	1	0	2	2	0.303333	0.605	0.307846	1107.0
52	1	0	2	1	0.182222	0.577778	0.195683	1450.0
53	1	0	2	1	0.221739	0.423043	0.094113	1917.0
54	1	0	2	2	0.295652	0.697391	0.250496	1807.0
55	1	0	2	2	0.364348	0.712174	0.346539	1461.0
56	1	0	2	1	0.2825	0.537917	0.18657100000000001	1969.0
57	1	0	2	1	0.343478	0.68	0.125248	2402.0
58	1	0	2	2	0.407273	0.8763639999999999	0.289686	1446.0
59	1	0	3	1	0.266667	0.535	0.216425	1851.0
60	1	0	3	1	0.335	0.449583	0.30783299999999997	2134.0
61	1	0	3	1	0.19833299999999998	0.318333	0.225754	1685.0
62	1	0	3	2	0.261667	0.610417	0.203346	1944.0
63	1	0	3	2	0.384167	0.789167	0.251871	2077.0
64	1	0	3	2	0.37652199999999997	0.948261	0.343287	605.0
65	1	0	3	1	0.261739	0.551304	0.341352	1872.0
66	1	0	3	1	0.2925	0.420833	0.12065	2133.0
67	1	0	3	2	0.295833	0.775417	0.22015	1891.0
68	1	0	3	3	0.38909099999999996	0.6293488681318677	0.26187699999999997	623.0
69	1	0	3	2	0.31652199999999997	0.649565	0.23296999999999998	1977.0
70	1	0	3	1	0.329167	0.594583	0.220775	2132.0
71	1	0	3	1	0.384348	0.5273909999999999	0.270604	2417.0
72	1	0	3	1	0.32521700000000003	0.496957	0.136926	2046.0
73	1	0	3	2	0.317391	0.655652	0.184309	2056.0
74	1	0	3	2	0.365217	0.776522	0.20311700000000002	2192.0
75	1	0	3	1	0.415	0.602917	0.209579	2744.0
76	1	0	3	1	0.54	0.525217	0.231017	3239.0
77	1	0	3	1	0.4725	0.37916700000000003	0.368167	3117.0
78	1	0	3	1	0.3325	0.47375	0.20772100000000002	2471.0
79	2	0	3	2	0.430435	0.737391	0.288783	2077.0
80	2	0	3	1	0.44166700000000003	0.624583	0.22575	2703.0
81	2	0	3	2	0.346957	0.839565	0.23426100000000002	2121.0
82	2	0	3	2	0.285	0.805833	0.24378699999999998	1865.0
83	2	0	3	1	0.264167	0.495	0.230725	2210.0
84	2	0	3	1	0.265833	0.394167	0.209571	2496.0
85	2	0	3	2	0.25304299999999996	0.493913	0.1843	1693.0
86	2	0	3	1	0.264348	0.302174	0.212204	2028.0
87	2	0	3	1	0.3025	0.31416700000000003	0.226996	2425.0
88	2	0	3	2	0.3	0.646667	0.17288800000000001	1536.0
89	2	0	3	3	0.268333	0.918333	0.217646	1685.0
90	2	0	4	2	0.3	0.68625	0.258708	2227.0
91	2	0	4	2	0.315	0.65375	0.19714600000000002	2252.0
92	2	0	4	1	0.378333	0.48	0.182213	3249.0
93	2	0	4	1	0.573333	0.42625	0.179108	3115.0
94	2	0	4	2	0.414167	0.642083	0.179108	1795.0
95	2	0	4	1	0.390833	0.470833	0.263063	2808.0
96	2	0	4	1	0.4375	0.602917	0.16231199999999998	3141.0
97	2	0	4	2	0.335833	0.83625	0.226992	1471.0
98	2	0	4	2	0.3425	0.8775	0.13308299999999998	2455.0
99	2	0	4	2	0.426667	0.8575	0.146767	2895.0
100	2	0	4	2	0.5956520000000001	0.716956	0.324474	3348.0
101	2	0	4	2	0.5025	0.739167	0.274879	2034.0
102	2	0	4	2	0.4125	0.819167	0.25061700000000003	2162.0
103	2	0	4	1	0.4675	0.540417	0.1107	3267.0
104	2	0	4	1	0.446667	0.67125	0.226375	3126.0
105	2	0	4	3	0.43083299999999997	0.888333	0.340808	795.0
106	2	0	4	1	0.456667	0.479583	0.303496	3744.0
107	2	0	4	1	0.5125	0.5425	0.16356700000000002	3429.0
108	2	0	4	2	0.505833	0.665833	0.157971	3204.0
109	2	0	4	1	0.595	0.614167	0.241925	3944.0
110	2	0	4	1	0.459167	0.407083	0.325258	4189.0
111	2	0	4	2	0.336667	0.729583	0.219521	1683.0
112	2	0	4	2	0.46	0.887917	0.230725	4036.0
113	2	0	4	2	0.581667	0.810833	0.192175	4191.0
114	2	0	4	1	0.606667	0.776667	0.185333	4073.0
115	2	0	4	1	0.631667	0.729167	0.3265	4400.0
116	2	0	4	2	0.62	0.835417	0.3122	3872.0
117	2	0	4	2	0.6175	0.700833	0.32090799999999997	4058.0
118	2	0	4	1	0.51	0.457083	0.240063	4595.0
119	2	0	4	1	0.4725	0.503333	0.235075	5312.0
120	2	0	5	2	0.451667	0.762083	0.10635399999999999	3351.0
121	2	0	5	2	0.549167	0.73	0.183454	4401.0
122	2	0	5	2	0.616667	0.697083	0.342667	4451.0
123	2	0	5	2	0.414167	0.737083	0.328996	2633.0
124	2	0	5	1	0.459167	0.44416700000000003	0.295392	4433.0
125	2	0	5	1	0.479167	0.59	0.228246	4608.0
126	2	0	5	1	0.52	0.54125	0.16045	4714.0
127	2	0	5	1	0.5283329999999999	0.631667	0.0746375	4333.0
128	2	0	5	1	0.5325	0.58875	0.17600000000000002	4362.0
129	2	0	5	1	0.5325	0.489167	0.11567100000000001	4803.0
130	2	0	5	1	0.5425	0.632917	0.12064200000000001	4182.0
131	2	0	5	1	0.535	0.7475	0.189667	4864.0
132	2	0	5	2	0.5125	0.863333	0.179725	4105.0
133	2	0	5	2	0.520833	0.9225	0.13495	3409.0
134	2	0	5	2	0.5625	0.867083	0.152979	4553.0
